observation_date,CSCICP03USM665S,CSCICP03USM665S_%change
1/1/1996,100.9108419,0.0019
1/1/1997,102.154422,0.0123
1/1/1998,102.3106866,0.0015
1/1/1999,102.4795702,0.0017
1/1/2000,102.6586962,0.0017
1/1/2001,100.3736788,-0.0223
1/1/2002,100.3645576,-0.0001
1/1/2003,100.1944061,-0.0017
1/1/2004,101.0772527,0.0088
1/1/2005,100.2617929,-0.0081
1/1/2006,100.1191088,-0.0014
1/1/2007,99.88810909,-0.0023
1/1/2008,97.07560836,-0.0282
1/1/2009,97.41705114,0.0035
1/1/2010,98.11930341,0.0072
1/1/2011,97.56559715,-0.0056
1/1/2012,98.71339795,0.0118
1/1/2013,99.06762477,0.0036
1/1/2014,99.70550055,0.0064
1/1/2015,100.807655,0.0111
1/1/2016,100.6826917,-0.0012
1/1/2017,101.3136521,0.0063
1/1/2018,101.4919412,0.0018
1/1/2019,101.2547651,-0.0023
1/1/2020,99.33706128,-0.0189
1/1/2021,98.86820269,-0.0047
