DATE,D10ALLL
1984-01-01,834094
1984-04-01,861575
1984-07-01,910243
1984-10-01,978644
1985-01-01,1007779
1985-04-01,1055104
1985-07-01,1099286
1985-10-01,1160301
1986-01-01,1274938
1986-04-01,1223615
1986-07-01,1284570
1986-10-01,1342333
1987-01-01,1348008
1987-04-01,1426177
1987-07-01,1402291
1987-10-01,1408675
1988-01-01,1417836
1988-04-01,1404860
1988-07-01,1412953
1988-10-01,1410938
1989-01-01,1425989
1989-04-01,1417896
1989-07-01,1400081
1989-10-01,1390791
1990-01-01,1433860
1990-04-01,1515270
1990-07-01,1551423
1990-10-01,1592745
1991-01-01,1618011
1991-04-01,1620745
1991-07-01,1635945
1991-10-01,1663668
1992-01-01,1705703
1992-04-01,1726444
1992-07-01,1709675
1992-10-01,1693267
1993-01-01,1680580
1993-04-01,1690199
1993-07-01,1653815
1993-10-01,1610568
1994-01-01,1627647
1994-04-01,1645165
1994-07-01,1641657
1994-10-01,1613156
1995-01-01,1618612
1995-04-01,1640088
1995-07-01,1638516
1995-10-01,1638217
1996-01-01,1683227
1996-04-01,1731257
1996-07-01,1741964
1996-10-01,1724950
1997-01-01,1746741
1997-04-01,1495691
1997-07-01,1438762
1997-10-01,1506797
1998-01-01,1534433
1998-04-01,1558410
1998-07-01,1565544
1998-10-01,1596721
1999-01-01,1615784
1999-04-01,1632608
1999-07-01,1645266
1999-10-01,1645664
2000-01-01,1670859
2000-04-01,1705097
2000-07-01,1722657
2000-10-01,1745477
2001-01-01,1764326
2001-04-01,1824258
2001-07-01,1811944
2001-10-01,1865189
2002-01-01,1905073
2002-04-01,1935610
2002-07-01,1917515
2002-10-01,1955480
2003-01-01,2002137
2003-04-01,2006916
2003-07-01,2017682
2003-10-01,1822286
2004-01-01,1802527
2004-04-01,1796746
2004-07-01,1831023
2004-10-01,1763382
2005-01-01,1776214
2005-04-01,1802332
2005-07-01,1829432
2005-10-01,1829849
2006-01-01,1874473
2006-04-01,1877860
2006-07-01,1915105
2006-10-01,1933609
2007-01-01,1968431
2007-04-01,2013685
2007-07-01,2029602
2007-10-01,2054288
2008-01-01,2173358
2008-04-01,2316998
2008-07-01,2471759
2008-10-01,2721661
2009-01-01,3033068
2009-04-01,3198104
2009-07-01,3527634
2009-10-01,3615712
2010-01-01,4003077
2010-04-01,4051674
2010-07-01,4032569
2010-10-01,3950224
2011-01-01,3783072
2011-04-01,3686265
2011-07-01,3462165
2011-10-01,3331263
2012-01-01,3304562
2012-04-01,3248936
2012-07-01,3219114
2012-10-01,3087641
2013-01-01,3053808
2013-04-01,3003736
2013-07-01,3007342
2013-10-01,2921594
2014-01-01,2902579
2014-04-01,2876984
2014-07-01,2875303
2014-10-01,2836758
2015-01-01,2858055
2015-04-01,2873156
2015-07-01,2909507
2015-10-01,2912698
2016-01-01,2960645
2016-04-01,3046632
2016-07-01,3091740
2016-10-01,3123116
2017-01-01,3191851
2017-04-01,3250185
2017-07-01,3158791
2017-10-01,3101486
2018-01-01,3133698
2018-04-01,3147395
2018-07-01,3160667
2018-10-01,3149249
2019-01-01,3176781
2019-04-01,3152080
2019-07-01,3203112
2019-10-01,3209233
2020-01-01,3620503
2020-04-01,4170658
2020-07-01,4275771
