DATE,D10IBTEIOA
1984-01-01,601329.500000000000
1985-01-01,450332.250000000000
1986-01-01,223790.500000000000
1987-01-01,386664.250000000000
1988-01-01,599825.250000000000
1989-01-01,864463.000000000000
1990-01-01,724606.250000000000
1991-01-01,1009723.750000000000
1992-01-01,1357709.750000000000
1993-01-01,1672983.750000000000
1994-01-01,1824022.750000000000
1995-01-01,1946500.000000000000
1996-01-01,2130218.750000000000
1997-01-01,1930876.750000000000
1998-01-01,2078530.250000000000
1999-01-01,2176929.250000000000
2000-01-01,2060760.750000000000
2001-01-01,2263218.750000000000
2002-01-01,2487673.500000000000
2003-01-01,2174249.000000000000
2004-01-01,2093789.250000000000
2005-01-01,2382375.500000000000
2006-01-01,2468868.250000000000
2007-01-01,2458035.500000000000
2008-01-01,1726805.750000000000
2009-01-01,856056.750000000000
2010-01-01,1612256.250000000000
2011-01-01,2159463.250000000000
2012-01-01,2582492.500000000000
2013-01-01,2578936.000000000000
2014-01-01,2668239.500000000000
2015-01-01,2909719.250000000000
2016-01-01,3034742.500000000000
2017-01-01,3244994.000000000000
2018-01-01,3607266.500000000000
2019-01-01,3726210.500000000000
2020-01-01,.
