observation_date,EXPINF10YR,EXPINF10YR_%change
1/1/1996,3.15356164,-0.0390
1/1/1997,3.19877906,0.0143
1/1/1998,2.80526513,-0.1230
1/1/1999,2.93714062,0.0470
1/1/2000,3.13874361,0.0686
1/1/2001,2.63950683,-0.1591
1/1/2002,2.54838618,-0.0345
1/1/2003,2.18357103,-0.1432
1/1/2004,2.35566557,0.0788
1/1/2005,2.44285278,0.0370
1/1/2006,2.53850488,0.0392
1/1/2007,2.48030893,-0.0229
1/1/2008,2.10897958,-0.1497
1/1/2009,1.88125987,-0.1080
1/1/2010,1.82640367,-0.0292
1/1/2011,1.8457419,0.0106
1/1/2012,1.53247567,-0.1697
1/1/2013,1.61272983,0.0524
1/1/2014,1.84601491,0.1447
1/1/2015,1.76328998,-0.0448
1/1/2016,1.73478579,-0.0162
1/1/2017,1.87479586,0.0807
1/1/2018,2.07553444,0.1071
1/1/2019,1.72830758,-0.1673
1/1/2020,1.3621843,-0.2118
1/1/2021,1.58668022,0.1648
