observation_date,TERMCBCCALLNS,TERMCBCCALLNS_%_change
1/1/1996,15.63,-0.0227
1/1/1997,15.8,0.0106
1/1/1998,15.71,-0.0057
1/1/1999,15.19,-0.0326
1/1/2000,15.78,0.0387
1/1/2001,14.87,-0.0575
1/1/2002,13.41,-0.0987
1/1/2003,12.3,-0.0824
1/1/2004,12.72,0.0343
1/1/2005,12.51,-0.0167
1/1/2006,13.21,0.0558
1/1/2007,13.3,0.0072
1/1/2008,12.08,-0.0919
1/1/2009,13.4,0.1093
1/1/2010,13.78,0.0285
1/1/2011,12.74,-0.0755
1/1/2012,12.06,-0.0538
1/1/2013,11.91,-0.0126
1/1/2014,11.87,-0.0031
1/1/2015,12.09,0.0183
1/1/2016,12.35,0.0217
1/1/2017,12.89,0.0437
1/1/2018,14.22,0.1034
1/1/2019,15.05,0.0582
1/1/2020,14.71,-0.0224
1/1/2021,14.6,-0.0073
